,Cities,Countries,Latitude,Longitude,Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (km/h)
532,calabozo,ve,8.92,-67.43,23.71,94,100,1.89
533,tomatlan,mx,19.93,-105.25,27.09,84,65,2.03
534,bad bevensen,de,53.08,10.57,8,93,100,4.6
535,labuhan,id,-2.54,115.51,33.5,39,44,1.32
536,lavrentiya,ru,65.58,-170.99,-2.12,81,95,5.6
538,alyangula,au,-13.85,136.42,33,41,2,5.7
539,sorong,id,-0.86,131.25,31.89,54,24,1.8
541,shingu,jp,33.72,135.99,26,54,20,6.7
542,wanning,cn,18.8,110.4,29.21,64,0,2.59
543,hutchinson,us,38.06,-97.93,18,88,90,6.2
544,warrington,us,40.25,-75.13,11.11,70,1,2.1
545,kununurra,au,-15.77,128.74,34,38,40,4.6
546,great falls,us,47.5,-111.29,9,75,75,3.1
547,dingle,ie,52.14,-10.27,14.66,93,100,10.53
548,praia,cv,14.92,-23.51,25,83,0,3.1
549,yebaishou,cn,41.4,119.64,11.62,24,0,5.978
550,flinders,au,-34.58,150.85,19.44,77,90,3.1
552,kitimat,ca,54.02,-128.69,9,87,75,7.2
553,rancharia,br,-22.23,-50.89,27,34,0,3.6
554,walvis bay,na,-22.95,14.51,14,87,0,4.6
555,lae,pg,-6.72,146.98,30,62,40,2.6
556,soe,id,-9.86,124.28,34.8,22,0,4.94
557,murray bridge,au,-35.12,139.28,34.44,24,100,1.79
558,christchurch,nz,-43.53,172.64,10.56,75,98,4.6
559,ada,rs,45.81,20.13,8.57,66,6,1.589
560,lar,ir,27.66,54.32,16,93,0,0.67
561,myaundzha,ru,63.05,147.18,-10.82,62,11,1.32
562,santa isabel do rio negro,br,-0.41,-65.02,22.6,97,100,0.47
563,comodoro rivadavia,ar,-45.87,-67.48,13,37,0,5.7
564,timmins,ca,48.48,-81.33,2,100,5,1.5
565,ucluelet,ca,48.94,-125.55,11.67,89,100,1.59
566,huarmey,pe,-10.07,-78.15,16.26,91,76,10.25
567,aripuana,br,-9.17,-60.63,23.59,84,61,1.06
568,mackay,au,-21.15,149.2,27.22,54,0,5.7
569,abonnema,ng,4.71,6.79,24.23,93,100,1.46
570,krasnyy yar,ru,50.7,44.73,13.44,79,96,7.16
571,baruun-urt,mn,46.68,113.28,7.99,29,0,4.81
572,lluta,pe,-16.02,-72.01,12,66,20,1
573,carutapera,br,-1.2,-46.02,25.84,81,66,2.73
574,borba,br,-4.39,-59.59,23.69,92,100,0.45
575,seymchan,ru,62.93,152.39,-7.54,80,87,2.87
576,mount darwin,zw,-16.77,31.58,17.22,84,91,0.96
577,magog,ca,45.27,-72.15,1.67,86,1,1.17
578,adrar,dz,27.87,-0.29,21,25,0,6.2
580,bath,us,40.73,-75.39,10,65,1,3.6
581,havoysund,no,71,24.66,4,86,75,6.2
582,kropotkin,ru,45.43,40.58,17.27,68,72,1.884
583,sao joao da barra,br,-21.64,-41.05,21.4,81,61,2.22
584,hoyanger,no,61.22,6.07,6,75,0,4.1
585,olinda,br,-22.82,-43.41,25,69,0,1.5
587,pokosnoye,ru,55.53,101.05,6.57,60,100,7.72
588,melito di porto salvo,it,37.92,15.77,21.67,64,40,1.5
589,hambantota,lk,6.12,81.12,27,100,75,1.5
590,thunder bay,ca,48.41,-89.26,3.89,93,5,1.32
591,ankang,cn,32.73,108.99,15.26,95,100,1.42
593,nhamunda,br,-2.19,-56.71,26.51,64,95,0.93
594,yelizovo,ru,53.19,158.38,8,36,100,3
596,lienz,at,46.83,12.77,7.22,95,96,2.35
597,ulladulla,au,-35.36,150.48,17.22,77,90,3.1
598,selfoss,is,63.94,-21,9,70,90,12.3
599,yangambi,cd,0.77,24.47,20.39,99,100,0.38
601,grindavik,is,63.84,-22.43,9,87,90,19
602,mirnyy,ru,56.57,36.46,5,85,94,0.99
603,haines junction,ca,60.75,-137.51,-0.45,68,100,3.19
604,qasigiannguit,gl,68.82,-51.19,4,64,100,0.5
605,maldonado,uy,-34.91,-54.96,13,100,90,4.1
